A/C,UT,RH_OT,UT_OT,N,RH_UT,RH,OT
housedust HR,0.232876712,0.107305936,0.084474886,0.0456621,0.136986301,0.287671233,0.105022831
housedust NR,0.416666667,0.041666667,0.013888889,0.083333333,0.055555556,0.152777778,0.236111111
housedust MR,0.292134831,0.118780096,0.069020867,0.060995185,0.07223114,0.239165329,0.147672552
housedust KR,1,0,0,0,0,0,0
housedust LR,0.362385321,0.059633028,0.082568807,0.036697248,0.032110092,0.233944954,0.19266055
cottondust HR,0.275423729,0.072033898,0.13559322,0.033898305,0.169491525,0.233050847,0.080508475
cottondust NR,0.312252964,0.146245059,0.04743083,0.051383399,0.051383399,0.201581028,0.18972332
cottondust MR,0.289256198,0.094214876,0.059504132,0.049586777,0.069421488,0.289256198,0.148760331
cottondust KR,0.5,0,0,0,0,0.5,0
cottondust LR,0.317073171,0.088414634,0.06097561,0.082317073,0.076219512,0.201219512,0.173780488
aspergilus HR,0.219895288,0.141361257,0.115183246,0.057591623,0.115183246,0.193717277,0.157068063
aspergilus NR,0.311074919,0.096091205,0.029315961,0.057003257,0.068403909,0.268729642,0.169381107
aspergilus MR,0.297546012,0.088957055,0.101226994,0.070552147,0.122699387,0.205521472,0.113496933
aspergilus KR,0.166666667,0,0.166666667,0,0.166666667,0.333333333,0.166666667
aspergilus LR,0.324041812,0.087108014,0.090592334,0.031358885,0.052264808,0.268292683,0.146341463
pollen HR,0.271903323,0.102719033,0.114803625,0.039274924,0.105740181,0.235649547,0.129909366
pollen NR,0.3125,0.041666667,0.041666667,0.069444444,0.013888889,0.236111111,0.284722222
pollen MR,0.299401198,0.113772455,0.062874251,0.049401198,0.098802395,0.244011976,0.131736527
pollen KR,0,0,0,0,0,0.333333333,0.666666667
pollen LR,0.320143885,0.086330935,0.050359712,0.079136691,0.061151079,0.258992806,0.143884892
parthenium HR,0.270212766,0.114893617,0.087234043,0.055319149,0.134042553,0.210638298,0.127659574
parthenium NR,0.374045802,0.06870229,0.053435115,0.022900763,0.053435115,0.236641221,0.190839695
parthenium MR,0.283333333,0.111666667,0.08,0.066666667,0.06,0.266666667,0.131666667
parthenium KR,0,0,0,0,0,0,1
parthenium LR,0.352941176,0.045248869,0.018099548,0.040723982,0.063348416,0.262443439,0.21719457
cockroach HR,0.270491803,0.118852459,0.100409836,0.081967213,0.100409836,0.229508197,0.098360656
cockroach NR,0.357664234,0.072992701,0.058394161,0.03649635,0.03649635,0.226277372,0.211678832
cockroach MR,0.285191956,0.095063985,0.067641682,0.053016453,0.073126143,0.265082267,0.160877514
cockroach KR,0.2,0,0,0,0,0.4,0.4
cockroach LR,0.348178138,0.08097166,0.024291498,0.016194332,0.105263158,0.234817814,0.190283401
catdander HR,0.4,0.4,0,0,0,0,0.2
catdander NR,0.183673469,0.244897959,0.183673469,0.040816327,0.06122449,0.204081633,0.081632653
catdander MR,0.75,0,0,0,0,0.25,0
catdander KR,0.30007391,0.092387288,0.067257945,0.056171471,0.084996305,0.246858832,0.15225425
catdander LR,0.307692308,0.076923077,0,0,0.153846154,0.230769231,0.230769231
dogfur HR,0.3,0,0.1,0,0.4,0.1,0.1
dogfur NR,0.255813953,0.023255814,0.023255814,0.069767442,0.162790698,0.279069767,0.186046512
dogfur MR,0.296296296,0.185185185,0.037037037,0.037037037,0.111111111,0.148148148,0.185185185
dogfur KR,0.303846154,0.099230769,0.070769231,0.054615385,0.073076923,0.246923077,0.151538462
dogfur LR,0.159090909,0.113636364,0.113636364,0.068181818,0.25,0.227272727,0.068181818
roaddust KR,0.297752809,0.098314607,0.070224719,0.054775281,0.084269663,0.244382022,0.150280899
oldpdust NR,0.333333333,0,0,0,0,0.333333333,0.333333333
oldpdust MR,0,0,0,0,0,1,0
oldpdust LR,0.333333333,0,0,0,0,0,0.666666667
oldpdust KR,0.297812279,0.098800282,0.07057163,0.055045872,0.084685956,0.244177841,0.14890614
PSdust NR,0,0,0,0,0,1,0
PSdust LR,1,0,0,0,0,0,0
PSdust MR,0,0,0,0,0,1,0
PSdust KR,0.297183099,0.098591549,0.070422535,0.054929577,0.084507042,0.243661972,0.150704225
MilkP HR,0.8,0,0,0,0,0,0.2
MilkP NR,0.303057554,0.09442446,0.068345324,0.043165468,0.089028777,0.25,0.151978417
MilkP MR,0.243902439,0.12195122,0.073170732,0,0.12195122,0.292682927,0.146341463
MilkP KR,0.237288136,0.076271186,0.093220339,0.228813559,0.042372881,0.194915254,0.127118644
MilkP LR,0.304054054,0.141891892,0.067567568,0.02027027,0.074324324,0.236486486,0.155405405
MilkC HR,0.333333333,0,0,0,0.333333333,0,0.333333333
MilkC NR,0.25,0.029411765,0.176470588,0.014705882,0.044117647,0.264705882,0.220588235
MilkC MR,0.444444444,0.333333333,0,0,0.111111111,0,0.111111111
MilkC KR,0.295839753,0.097842835,0.062403698,0.058551618,0.087057011,0.250385208,0.147919877
MilkC LR,0.395348837,0.186046512,0.162790698,0.023255814,0.023255814,0.11627907,0.093023256
curd HR,0.444444444,0.111111111,0,0,0.222222222,0.222222222,0
curd NR,0.314847943,0.137745975,0.078711986,0.044722719,0.071556351,0.212880143,0.139534884
curd MR,0.379310345,0.155172414,0.034482759,0.051724138,0.137931034,0.068965517,0.172413793
curd KR,0.262121212,0.074242424,0.062121212,0.059090909,0.084848485,0.293939394,0.163636364
curd LR,0.355072464,0.028985507,0.094202899,0.079710145,0.101449275,0.210144928,0.130434783
coffee HR,0.4,0.1,0,0,0,0.1,0.4
coffee NR,0.280851064,0.165957447,0.076595745,0.034042553,0.046808511,0.259574468,0.136170213
coffee MR,0.216216216,0.054054054,0.081081081,0.027027027,0.189189189,0.27027027,0.162162162
coffee KR,0.299516908,0.093719807,0.060869565,0.065700483,0.08115942,0.248309179,0.150724638
coffee LR,0.336448598,0.009345794,0.14953271,0.009345794,0.168224299,0.177570093,0.14953271
tea HR,0.205128205,0.051282051,0.333333333,0,0.102564103,0.102564103,0.205128205
tea NR,0.321875,0.08125,0.071875,0.0625,0.040625,0.253125,0.16875
tea MR,0.26,0.13,0.13,0.04,0.07,0.24,0.13
tea KR,0.271349862,0.100550964,0.050964187,0.05785124,0.104683196,0.26446281,0.150137741
tea LR,0.376569038,0.108786611,0.058577406,0.050209205,0.083682008,0.19665272,0.125523013
beef NR,0.285714286,0.142857143,0.028571429,0.014285714,0.071428571,0.235714286,0.221428571
beef LR,0.255813953,0.046511628,0.162790698,0.11627907,0.023255814,0.255813953,0.139534884
beef MR,0.294117647,0.117647059,0.352941176,0.058823529,0,0.058823529,0.117647059
beef KR,0.300653595,0.094771242,0.067810458,0.057189542,0.089052288,0.24754902,0.142973856
chicken HR,0.25,0.125,0.0625,0.25,0.125,0.0625,0.125
chicken NR,0.293510324,0.110619469,0.056047198,0.030973451,0.085545723,0.278761062,0.144542773
chicken MR,0.302631579,0.078947368,0.210526316,0.026315789,0.078947368,0.197368421,0.105263158
chicken KR,0.26741573,0.060674157,0.083146067,0.107865169,0.078651685,0.211235955,0.191011236
chicken LR,0.377990431,0.14354067,0.038277512,0.014354067,0.090909091,0.234449761,0.100478469
mutton HR,0.428571429,0.19047619,0.047619048,0.047619048,0.095238095,0.095238095,0.095238095
mutton NR,0.299349241,0.093275488,0.082429501,0.045553145,0.09978308,0.249457701,0.130151844
mutton MR,0.289473684,0.092105263,0.131578947,0.078947368,0.144736842,0.144736842,0.118421053
mutton KR,0.293478261,0.096467391,0.051630435,0.059782609,0.066576087,0.254076087,0.17798913
mutton LR,0.3,0.115384615,0.1,0.046153846,0.092307692,0.253846154,0.092307692
egg HR,0.153846154,0.230769231,0.076923077,0.153846154,0,0.307692308,0.076923077
egg NR,0.303571429,0.097527473,0.061813187,0.043956044,0.100274725,0.25,0.142857143
egg MR,0.263736264,0.175824176,0.142857143,0,0.087912088,0.208791209,0.120879121
egg KR,0.299303944,0.102088167,0.053364269,0.085846868,0.064965197,0.22737819,0.167053364
egg LR,0.298136646,0.037267081,0.111801242,0.043478261,0.068322981,0.279503106,0.161490683
