A/C,OT,RH_OT,RH,UT,RH_UT,UT_OT,N
housedust HR,0.095541401,0.165605096,0.142250531,0.095541401,0.210191083,0.163481953,0.127388535
housedust NR,0.273504274,0.085470085,0.111111111,0.222222222,0.094017094,0.051282051,0.162393162
housedust MR,0.137540453,0.160194175,0.139158576,0.163430421,0.129449838,0.114886731,0.155339806
housedust LR,0.190697674,0.074418605,0.172093023,0.144186047,0.060465116,0.227906977,0.130232558
cottondust LR,0.17571885,0.089456869,0.115015974,0.162939297,0.124600639,0.137380192,0.194888179
cottondust KR,0,0,0,1,0,0,0
cottondust NR,0.164750958,0.180076628,0.122605364,0.149425287,0.076628352,0.149425287,0.157088123
cottondust MR,0.142622951,0.175409836,0.17704918,0.137704918,0.118032787,0.11147541,0.137704918
cottondust HR,0.076271186,0.088983051,0.11440678,0.118644068,0.305084746,0.224576271,0.072033898
aspergilus LR,0.144981413,0.137546468,0.185873606,0.148698885,0.078066914,0.200743494,0.104089219
aspergilus KR,0.142857143,0,0,0.142857143,0.428571429,0.285714286,0
aspergilus NR,0.181003584,0.134408602,0.157706093,0.159498208,0.134408602,0.080645161,0.152329749
aspergilus MR,0.080519481,0.150649351,0.114285714,0.122077922,0.181818182,0.179220779,0.171428571
aspergilus HR,0.153465347,0.163366337,0.103960396,0.128712871,0.168316832,0.163366337,0.118811881
pollen LR,0.139194139,0.120879121,0.172161172,0.172161172,0.102564103,0.142857143,0.15018315
pollen KR,1,0,0,0,0,0,0
pollen NR,0.351351351,0.081081081,0.18018018,0.153153153,0.027027027,0.036036036,0.171171171
pollen MR,0.117310443,0.154506438,0.13304721,0.143061516,0.175965665,0.120171674,0.155937053
pollen HR,0.125,0.157738095,0.12797619,0.116071429,0.145833333,0.226190476,0.101190476
parthenium LR,0.244897959,0.045918367,0.209183673,0.168367347,0.142857143,0.076530612,0.112244898
parthenium KR,1,0,0,0,0,0,0
parthenium NR,0.23,0.09,0.18,0.2,0.18,0.07,0.05
parthenium MR,0.113564669,0.179810726,0.146687697,0.126182965,0.121451104,0.129337539,0.1829653
parthenium HR,0.118609407,0.145194274,0.104294479,0.143149284,0.163599182,0.202453988,0.122699387
cockroach LR,0.222222222,0.096618357,0.178743961,0.193236715,0.173913043,0.09178744,0.043478261
cockroach KR,0.5,0,0.25,0.25,0,0,0
cockroach NR,0.225,0.158333333,0.15,0.158333333,0.091666667,0.075,0.141666667
cockroach MR,0.156079855,0.13430127,0.145190563,0.143375681,0.143375681,0.136116152,0.141560799
cockroach HR,0.077922078,0.166975881,0.124304267,0.118738404,0.142857143,0.185528757,0.183673469
catdander LR,0.230769231,0.153846154,0.153846154,0.076923077,0.384615385,0,0
catdander KR,0.143487859,0.138337013,0.143487859,0.146431199,0.141280353,0.141280353,0.145695364
catdander NR,0.095238095,0.238095238,0.119047619,0.023809524,0.142857143,0.261904762,0.119047619
catdander MR,0,0,1,0,0,0,0
catdander HR,0.166666667,0.5,0,0.333333333,0,0,0
dogfur LR,0.06122449,0.163265306,0.081632653,0.06122449,0.285714286,0.224489796,0.12244898
dogfur KR,0.144838213,0.140986133,0.147919877,0.147149461,0.132511556,0.140986133,0.145608629
dogfur NR,0.2,0.057142857,0.142857143,0.114285714,0.2,0.114285714,0.171428571
dogfur MR,0.137931034,0.344827586,0.068965517,0.172413793,0.103448276,0.103448276,0.068965517
dogfur HR,0.1,0,0,0,0.7,0.2,0
roaddust KR,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
oldpdust NR,0.333333333,0,0.333333333,0.333333333,0,0,0
oldpdust KR,0.141242938,0.143361582,0.142655367,0.142655367,0.143361582,0.143361582,0.143361582
oldpdust LR,1,0,0,0,0,0,0
PSdust KR,0.143159379,0.143159379,0.143159379,0.141043724,0.143159379,0.143159379,0.143159379
PSdust LR,0,0,0,1,0,0,0
MilkP LR,0.182539683,0.206349206,0.095238095,0.206349206,0.142857143,0.111111111,0.055555556
MilkP KR,0.093567251,0.093567251,0.070175439,0.070175439,0.070175439,0.087719298,0.514619883
MilkP NR,0.146543779,0.140092166,0.159447005,0.149308756,0.152995392,0.152073733,0.099539171
MilkP MR,0.111111111,0.25,0.166666667,0.027777778,0.194444444,0.25,0
MilkP HR,0.333333333,0,0,0.666666667,0,0,0
MilkC LR,0.105263158,0.210526316,0.026315789,0.184210526,0.052631579,0.368421053,0.052631579
MilkC KR,0.138088012,0.142640364,0.147192716,0.142640364,0.14491654,0.135053111,0.149468892
MilkC NR,0.269230769,0.038461538,0.153846154,0.115384615,0.134615385,0.211538462,0.076923077
MilkC MR,0.125,0.625,0,0.125,0.125,0,0
MilkC HR,0.4,0,0,0.2,0.4,0,0
curd LR,0.099337748,0.059602649,0.132450331,0.17218543,0.112582781,0.238410596,0.185430464
curd KR,0.158610272,0.126888218,0.170694864,0.126888218,0.149546828,0.104229607,0.163141994
curd NR,0.132007233,0.186256781,0.12477396,0.148282098,0.132007233,0.164556962,0.112115732
curd MR,0.204081633,0.102040816,0.020408163,0.204081633,0.224489796,0.142857143,0.102040816
curd HR,0,0.333333333,0,0.166666667,0.5,0,0
coffee LR,0.132075472,0.018867925,0.103773585,0.20754717,0.311320755,0.20754717,0.018867925
coffee KR,0.140401146,0.135625597,0.145176695,0.134670487,0.139446036,0.133715377,0.170964661
coffee NR,0.151376147,0.224770642,0.165137615,0.160550459,0.068807339,0.142201835,0.087155963
coffee MR,0.133333333,0.2,0.088888889,0.088888889,0.2,0.222222222,0.066666667
coffee HR,0.6,0.2,0,0.2,0,0,0
tea LR,0.148514851,0.173267327,0.163366337,0.173267327,0.138613861,0.118811881,0.084158416
tea KR,0.132390746,0.152956298,0.149100257,0.123393316,0.155526992,0.119537275,0.167095116
tea NR,0.167213115,0.11147541,0.127868852,0.173770492,0.091803279,0.17704918,0.150819672
tea MR,0.112244898,0.132653061,0.132653061,0.132653061,0.204081633,0.183673469,0.102040816
tea HR,0.210526316,0.052631579,0.052631579,0.157894737,0.157894737,0.368421053,0
beef NR,0.25,0.175,0.116666667,0.116666667,0.175,0.1,0.066666667
beef KR,0.135374698,0.139403707,0.143432716,0.145850121,0.145850121,0.142626914,0.147461724
beef MR,0,0.142857143,0.047619048,0.142857143,0,0.380952381,0.285714286
beef LR,0.128205128,0.153846154,0.256410256,0.128205128,0.025641026,0.153846154,0.153846154
chicken LR,0.116751269,0.192893401,0.16751269,0.228426396,0.137055838,0.106598985,0.050761421
chicken KR,0.155870445,0.111336032,0.103238866,0.109311741,0.123481781,0.151821862,0.244939271
chicken NR,0.149371069,0.149371069,0.174528302,0.143081761,0.166666667,0.124213836,0.092767296
chicken MR,0.097222222,0.138888889,0.111111111,0.152777778,0.111111111,0.333333333,0.055555556
