A/C,RH,UT,OT,RH_UT,RH_OT,N,UT_OT
housedust MR,0.274350649,0.313311688,0.207792208,0.043831169,0.063311688,0.060064935,0.037337662
housedust HR,0.327014218,0.267772512,0.142180095,0.08056872,0.087677725,0.045023697,0.049763033
housedust LR,0.257918552,0.352941176,0.221719457,0.027149321,0.036199095,0.040723982,0.063348416
housedust KR,0,1,0,0,0,0,0
housedust NR,0.159509202,0.404907975,0.27607362,0.030674847,0.036809816,0.079754601,0.012269939
cottondust MR,0.307692308,0.307692308,0.185897436,0.043269231,0.067307692,0.056089744,0.032051282
cottondust HR,0.291866029,0.301435407,0.133971292,0.105263158,0.057416268,0.033492823,0.076555024
cottondust LR,0.237654321,0.339506173,0.225308642,0.046296296,0.043209877,0.070987654,0.037037037
cottondust KR,1,0,0,0,0,0,0
cottondust NR,0.222641509,0.324528302,0.245283019,0.030188679,0.083018868,0.049056604,0.045283019
aspergilus MR,0.238853503,0.318471338,0.146496815,0.082802548,0.076433121,0.070063694,0.066878981
aspergilus HR,0.233918129,0.257309942,0.216374269,0.081871345,0.099415205,0.052631579,0.058479532
aspergilus LR,0.291946309,0.355704698,0.177852349,0.030201342,0.05033557,0.046979866,0.046979866
aspergilus KR,0.333333333,0,0.333333333,0.166666667,0,0,0.166666667
aspergilus NR,0.293375394,0.3170347,0.227129338,0.034700315,0.05362776,0.052050473,0.022082019
pollen MR,0.274390244,0.326219512,0.170731707,0.06097561,0.070121951,0.057926829,0.039634146
pollen HR,0.27444795,0.299684543,0.164037855,0.066246057,0.075709779,0.050473186,0.069400631
pollen LR,0.282828283,0.326599327,0.212121212,0.033670034,0.047138047,0.063973064,0.033670034
pollen KR,0.2,0,0.8,0,0,0,0
pollen NR,0.256756757,0.304054054,0.344594595,0.006756757,0.040540541,0.033783784,0.013513514
parthenium MR,0.299500832,0.297836938,0.174708819,0.038269551,0.078202995,0.071547421,0.039933444
parthenium HR,0.241457859,0.30523918,0.177676538,0.079726651,0.077448747,0.0523918,0.066059226
parthenium LR,0.273809524,0.353174603,0.261904762,0.035714286,0.01984127,0.03968254,0.015873016
parthenium KR,0,0,1,0,0,0,0
parthenium NR,0.2734375,0.3828125,0.234375,0.0390625,0.03125,0.015625,0.0234375
cockroach MR,0.29380531,0.300884956,0.208849558,0.047787611,0.056637168,0.054867257,0.037168142
cockroach HR,0.266666667,0.295555556,0.135555556,0.068888889,0.084444444,0.084444444,0.064444444
cockroach LR,0.266666667,0.380392157,0.231372549,0.043137255,0.039215686,0.015686275,0.023529412
cockroach KR,0.4,0,0.6,0,0,0,0
cockroach NR,0.22972973,0.344594595,0.277027027,0.02027027,0.067567568,0.033783784,0.027027027
catdander MR,0.25,0.75,0,0,0,0,0
catdander HR,0,0.4,0.2,0,0.4,0,0
catdander LR,0.1875,0.375,0.25,0.125,0.0625,0,0
catdander KR,0.276957164,0.316100443,0.200886263,0.050221566,0.059084195,0.056129985,0.040620384
catdander NR,0.25,0.272727273,0.113636364,0.045454545,0.159090909,0.045454545,0.113636364
dogfur MR,0.137931034,0.344827586,0.172413793,0.068965517,0.172413793,0.068965517,0.034482759
dogfur HR,0.111111111,0.333333333,0.222222222,0.222222222,0,0,0.111111111
dogfur LR,0.297297297,0.135135135,0.081081081,0.135135135,0.135135135,0.081081081,0.135135135
dogfur KR,0.276546982,0.321619557,0.201680672,0.045836516,0.060351413,0.054239878,0.039724981
dogfur NR,0.307692308,0.307692308,0.205128205,0.076923077,0.025641026,0.051282051,0.025641026
roaddust KR,0.274068869,0.316936051,0.198172874,0.05059733,0.063246662,0.054813774,0.042164441
