A/C,RH_UT,N,RH,UT_OT,RH_OT,OT,UT
housedust NR,0.032258065,0.04516129,0.167741935,0.012903226,0.038709677,0.232258065,0.470967742
housedust KR,0,0,0,0,0,0,1
housedust MR,0.044262295,0.045901639,0.273770492,0.037704918,0.063934426,0.155737705,0.378688525
housedust HR,0.080188679,0.033018868,0.323113208,0.049528302,0.087264151,0.117924528,0.308962264
housedust LR,0.025862069,0.030172414,0.245689655,0.060344828,0.034482759,0.193965517,0.409482759
cottondust NR,0.029739777,0.037174721,0.219330855,0.044609665,0.081784387,0.197026022,0.390334572
cottondust KR,0,0,0.5,0,0,0,0.5
cottondust MR,0.043338684,0.040128411,0.306581059,0.032102729,0.06741573,0.149277689,0.361155698
cottondust HR,0.105769231,0.024038462,0.293269231,0.076923077,0.057692308,0.096153846,0.346153846
cottondust LR,0.046875,0.05,0.234375,0.0375,0.04375,0.1875,0.4
aspergilus NR,0.034976153,0.038155803,0.292527822,0.022257552,0.054054054,0.178060413,0.379968203
aspergilus KR,0.166666667,0,0.333333333,0.166666667,0,0.166666667,0.166666667
aspergilus MR,0.082018927,0.05362776,0.23659306,0.066246057,0.075709779,0.116719243,0.369085174
aspergilus HR,0.079545455,0.039772727,0.227272727,0.056818182,0.096590909,0.193181818,0.306818182
aspergilus LR,0.030612245,0.027210884,0.292517007,0.047619048,0.051020408,0.142857143,0.408163265
pollen NR,0.006896552,0.034482759,0.262068966,0.013793103,0.04137931,0.282758621,0.35862069
pollen KR,0,0,0.333333333,0,0,0.666666667,0
pollen MR,0.060422961,0.040785498,0.270392749,0.039274924,0.069486405,0.141993958,0.377643505
pollen HR,0.064615385,0.033846154,0.264615385,0.067692308,0.073846154,0.138461538,0.356923077
pollen LR,0.034843206,0.045296167,0.289198606,0.034843206,0.048780488,0.153310105,0.393728223
parthenium NR,0.038167939,0.015267176,0.267175573,0.022900763,0.030534351,0.20610687,0.419847328
parthenium KR,0,0,0,0,0,1,0
parthenium MR,0.03807947,0.048013245,0.296357616,0.039735099,0.07781457,0.135761589,0.364238411
